dof,repeat,file_id,nominal_frequency_hz,estimated_frequency_hz,timing_group,gather_file,sensor_file,status,exclusion_reason,gather_rows,sensor_rows,required_sensor_rows,paired_rows,motion_fit_r2,u_mean_m_s,surge_force_mean_n,surge_force_oscillatory_rms_n,q_amplitude,condition_raw,sensor_time_shift_ms,quality_flag
pitch,2,26,0.5,0.4950694889,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw2/gather_26_ang60.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw2/sensor_26_ang60.csv,included,,1207,6100,4751,700,0.9999998341,0.1920838994,0.4037943691,1.359196973,0.5467408135,3.997098726,0,ok
pitch,2,27,0.6,0.5940625349,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw2/gather_27_ang60.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw2/sensor_27_ang60.csv,included,,1207,6100,4751,700,0.9999157295,0.1970741158,0.4285216077,1.338659981,0.654372454,3.537455348,0,ok
pitch,2,28,0.7,0.6929486733,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw2/gather_28_ang60.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw2/sensor_28_ang60.csv,included,,1207,6100,4751,700,0.9997722851,0.2057716769,0.4537402717,1.390442928,0.7639996636,3.444931188,0,ok
pitch,3,22,0.1,0.102,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw3/gather_22_ang120.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw3/sensor_22_ang120.csv,included,,1207,6100,4751,700,0.9999999797,0.2095036892,0.2782351566,1.410362398,0.08682874376,9.37216124,0,frequency_search_boundary
pitch,3,23,0.2,0.1979939988,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw3/gather_23_ang120.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw3/sensor_23_ang120.csv,included,,1207,6100,4751,700,0.9999996264,0.2106082059,0.3194959363,1.365711036,0.2181177435,8.307195375,0,ok
pitch,3,24,0.3,0.2970552133,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw3/gather_24_ang120.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw3/sensor_24_ang120.csv,included,,1207,6100,4751,700,0.9999980204,0.2039646372,0.3196415034,1.348889047,0.3270451572,6.344041647,0,ok
pitch,3,25,0.4,0.3961038432,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw3/gather_25_ang120.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw3/sensor_25_ang120.csv,included,,1207,6100,4751,700,0.9999920879,0.1953321038,0.39492595,1.369992347,0.436654921,4.627008305,0,ok
pitch,3,26,0.5,0.4950529659,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw3/gather_26_ang120.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw3/sensor_26_ang120.csv,included,,1207,6100,4751,700,0.9999998841,0.1920821248,0.3851267197,1.348633971,0.5468265653,3.994562758,0,ok
pitch,3,27,0.6,0.5940557828,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw3/gather_27_ang120.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw3/sensor_27_ang120.csv,included,,1207,6100,4751,700,0.9999154505,0.1970755414,0.4166079514,1.296642032,0.6543464712,3.538074738,0,ok
pitch,3,28,0.7,0.6929792621,vertical,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw3/gather_28_ang120.csv,/home/jining_yang/isaac-auv-env/environment/pmm/vertical_yaw3/sensor_28_ang120.csv,included,,1207,6100,4751,700,0.9997722929,0.20576728,0.4424674537,1.326130654,0.7641313434,3.443806249,0,ok
yaw,1,22,0.1,0.102,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw1/gather_22_ang0.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw1/sensor_22_ang0.csv,included,,1207,6100,4751,700,0.9999999806,0.201587438,-0.3509353163,1.570864754,0.0867998046,8.194865442,0,frequency_search_boundary
yaw,1,23,0.2,0.1979952807,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw1/gather_23_ang0.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw1/sensor_23_ang0.csv,included,,1207,6100,4751,700,0.9999996322,0.2015935111,-0.364040018,1.48694285,0.2181275165,10.40715021,0,ok
yaw,1,24,0.3,0.2970748578,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw1/gather_24_ang0.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw1/sensor_24_ang0.csv,included,,1207,6200,4751,700,0.9999981997,0.2015932683,-0.3735565594,1.507240608,0.3270822866,10.25795339,0,ok
yaw,1,25,0.4,0.3960726347,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw1/gather_25_ang0.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw1/sensor_25_ang0.csv,included,,1207,6100,4751,700,0.9999925435,0.2015932357,-0.3948716814,1.464004973,0.436623349,9.477121414,0,ok
yaw,1,26,0.5,0.4950800934,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw1/gather_26_ang0.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw1/sensor_26_ang0.csv,included,,1207,6100,4751,700,0.9999998509,0.2015916199,-0.4045695751,1.493139915,0.5467270566,10.07785183,0,ok
yaw,1,27,0.6,0.5940498895,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw1/gather_27_ang0.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw1/sensor_27_ang0.csv,included,,1207,6100,4751,700,0.9999136734,0.2015984555,-0.4237282931,1.500368484,0.6543434212,10.2236462,0,ok
yaw,1,28,0.7,0.6929612072,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw1/gather_28_ang0.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw1/sensor_28_ang0.csv,included,,1207,6100,4751,700,0.9997755466,0.2015866679,-0.4365878314,1.434320039,0.7641594036,9.800963183,0,ok
yaw,2,22,0.1,0.102,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw2/gather_22_ang60.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw2/sensor_22_ang60.csv,included,,1207,6100,4751,700,0.9999999813,0.2015874418,-0.3190723966,1.541840231,0.08682820503,8.192486284,0,frequency_search_boundary
yaw,2,23,0.2,0.1979781959,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw2/gather_23_ang60.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw2/sensor_23_ang60.csv,included,,1207,6100,4751,700,0.9999996537,0.2015931937,-0.3729364303,1.569546292,0.218088832,10.41053058,0,ok
yaw,2,24,0.3,0.297073001,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw2/gather_24_ang60.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw2/sensor_24_ang60.csv,included,,1207,6100,4751,700,0.9999982684,0.2015932432,-0.3734376911,1.552774076,0.3270564725,10.25892933,0,ok
yaw,2,25,0.4,0.3960913382,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw2/gather_25_ang60.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw2/sensor_25_ang60.csv,included,,1207,6100,4751,700,0.9999921316,0.2015933667,-0.3833775203,1.487792395,0.4366287309,9.477209698,0,ok
yaw,2,26,0.5,0.4950564047,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw2/gather_26_ang60.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw2/sensor_26_ang60.csv,included,,1207,6100,4751,700,0.999999855,0.2015915309,-0.3982469769,1.460940714,0.5467474069,10.07638319,0,ok
yaw,2,27,0.6,0.5940635031,horizontal,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw2/gather_27_ang60.csv,/home/jining_yang/isaac-auv-env/environment/pmm/pure_yaw2/sensor_27_ang60.csv,included,,1207,6100,4751,700,0.9999159934,0.2015986139,-0.4059276617,1.484829848,0.6543537147,10.22405248,0,ok
